Disease,DPR
Acquired central diabetes insipidus,7
Rare non-syndromic intellectual disability,7
Placental site trophoblastic tumor,7
Acral dystrophic epidermolysis bullosa,8
Tetramelic monodactyly,8
Isolated trigonocephaly,8
Familial hypospadias,8
Distal myopathy,8
Acral self-healing collodion baby,8
"Distal myopathy, Welander type",8
Idiopathic steroid-sensitive nephrotic syndrome,8
MGAT2-CDG,8
Palmoplantar keratoderma-XX sex reversal-predisposition to squamous cell carcinoma syndrome,8
Ichthyosis associated with a cornified cell envelope and epidermal lipid metabolism anomaly,8
Ichthyosis associated with a nucleotide excision repair anomaly,8
Bathing suit ichthyosis,8
Familial isolated hypoparathyroidism due to agenesis of parathyroid gland,9
Spastic paraplegia-precocious puberty syndrome,9
Nodular regenerative hyperplasia of the liver,9
X-linked intellectual disability-macrocephaly-macroorchidism syndrome,9
X-linked intellectual disability-retinitis pigmentosa syndrome,9
Oligoarticular juvenile idiopathic arthritis,9
"Palmoplantar keratoderma, Nagashima type",10
Alar cartilages hypoplasia-coloboma-telecanthus syndrome,10
Delayed membranous cranial ossification,10
Congenital pulmonary valve stenosis,10
Tyrosinemia type 1,10
"46,XX testicular disorder of sex development",10
Sebocystomatosis,10
Alopecia totalis,10
Epidermolysis bullosa simplex superficialis,10
Hereditary palmoplantar keratoderma,10
Benign cephalic histiocytosis,11
Generalized eruptive histiocytosis,11
Hereditary progressive mucinous histiocytosis,11
Upper limb mesomelic dysplasia,11
Taurodontism,11
Carvajal syndrome,11
Localized lipodystrophy,11
Talo-patello-scaphoid osteolysis,11
"Epidermolysis bullosa simplex, Ogna type",11
Multinodular goiter-cystic kidney-polydactyly syndrome,12
Papular xanthoma,12
Polyradiculoneuropathy associated with IgG/IgA/IgM monoclonal gammopathy without known antibodies,12
Proliferating trichilemmal cyst,12
Centripetalis recessive dystrophic epidermolysis bullosa,12
Ichthyosis-hypotrichosis syndrome,12
Griscelli syndrome type 3,12
Multiple intestinal atresia,13
Gastroschisis,13
Congenital herpes simplex virus infection,13
Ulnar hypoplasia-split foot syndrome,13
Colonic atresia,13
Diastematomyelia,13
Dysmorphism-pectus carinatum-joint laxity syndrome,13
Spinocerebellar ataxia type 30,13
Familial intestinal malrotation,13
Myopathy due to calsequestrin and SERCA1 protein overload,13
Junctional epidermolysis bullosa inversa,13
Cholesterol-ester transfer protein deficiency,13
Pyogenic bacterial infections due to MyD88 deficiency,14
Congenital isolated hyperinsulinism,14
Fetal valproate syndrome,14
Upington disease,14
Catecholaminergic polymorphic ventricular tachycardia,14
"Autosomal dominant focal dystonia, DYT25 type",14
Keratosis linearis-ichthyosis congenita-sclerosing keratoderma syndrome,14
Autosomal recessive limb-girdle muscular dystrophy type 2F,14
Permanent neonatal diabetes mellitus-pancreatic and cerebellar agenesis syndrome,14
Keratolytic winter erythema,14
Neurodegeneration due to 3-hydroxyisobutyryl-CoA hydrolase deficiency,14
Late-onset junctional epidermolysis bullosa,14
Brachydactyly type A2,14
Isochromosomy Yp,14
Bifid uvula,14
Partial chromosome Y deletion,15
Alymphoid cystic thymic dysgenesis,15
Laryngeal abductor paralysis,15
Polydactyly-myopia syndrome,15
Congenital patella dislocation,15
Small cell carcinoma of the bladder,15
Dyschromatosis symmetrica hereditaria,15
Disseminated superficial actinic porokeratosis,15
X-linked intellectual disability-corpus callosum agenesis-spastic quadriparesis syndrome,15
Isolated micropenis,15
Isochromosomy Yq,15
Primary ciliary dyskinesia,16
Autosomal dominant palmoplantar keratoderma and congenital alopecia,16
Scalp defects-postaxial polydactyly syndrome,16
Genetic transient congenital hypothyroidism,16
Acromelanosis,16
Familial cylindromatosis,16
Medullary sponge kidney,17
Idiopathic hypercalciuria,17
Congenital sucrase-isomaltase deficiency,17
Familial pseudohyperkalemia,17
Ichthyosis-prematurity syndrome,17
Transient bullous dermolysis of the newborn,17
Pemphigus erythematosus,17
Rotor syndrome,18
Gollop-Wolfgang complex,18
Ptosis-vocal cord paralysis syndrome,18
Congenital pancreatic cyst,18
Familial  hyperprolactinemia,18
AApoAIV amyloidosis,18
Benign occipital epilepsy,18
Isolated oxycephaly,18
Obesity-colitis-hypothyroidism-cardiac hypertrophy-developmental delay syndrome,18
Pretibial dystrophic epidermolysis bullosa,18
Pemphigus foliaceus,18
Myxoid/round cell liposarcoma,18
Neutrophil immunodeficiency syndrome,19
Steroid dehydrogenase deficiency-dental anomalies syndrome,19
Progressive nodular histiocytosis,19
Intellectual disability-short stature-hypertelorism syndrome,19
Progressive symmetric erythrokeratodermia,19
Oral erosive lichen,19
Lichen amyloidosis,19
ACys amyloidosis,19
"Primary dystonia, DYT21 type",20
Naegeli-Franceschetti-Jadassohn syndrome,20
"Autosomal recessive ataxia, Beauce type",20
Mal de Meleda,20
Hypoplastic left heart syndrome,21
Trichodysplasia-xeroderma syndrome,21
Testicular agenesis,21
Polyneuropathy associated with IgM monoclonal gammapathy with anti-MAG,21
Acanthosis nigricans-insulin resistance-muscle cramps-acral enlargement syndrome,21
Hepatoerythropoietic porphyria,21
Systemic mastocytosis with an associated clonal hematologic non-mast cell lineage disease,21
Cap polyposis,22
Cleft palate,22
Internal carotid agenesis,22
Ataxia-hypogonadism-choroidal dystrophy syndrome,22
Pulmonary atresia-intact ventricular septum syndrome,22
"Primary dystonia, DYT17 type",22
Hypotrichosis simplex,22
HANAC syndrome,22
Hinman syndrome,22
Deafness-infertility syndrome,22
Autosomal recessive spastic paraplegia type 14,22
X-linked spastic paraplegia type 34,23
Dihydropteridine reductase deficiency,23
Spina bifida-hypospadias syndrome,23
Tubular aggregate myopathy,23
Spastic paraplegia-neuropathy-poikiloderma syndrome,23
COG2-CDG,23
Syringocystadenoma papilliferum,23
MPI-CDG,23
X-linked severe congenital neutropenia,23
Congenital glaucoma,23
Adenosine monophosphate deaminase deficiency,24
Adenine phosphoribosyltransferase deficiency,24
Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome,24
Congenital bowing of long bones,24
Absent radius-anogenital anomalies syndrome,24
"Primary dystonia, DYT27 type",24
Hypomyelination-hypogonadotropic hypogonadism-hypodontia syndrome,24
Localized epidermolysis bullosa simplex,24
"Primary dystonia, DYT6 type",24
CLAPO syndrome,25
Arterial dissection-lentiginosis syndrome,25
Glaucoma-sleep apnea syndrome,25
Gingival fibromatosis-progressive deafness syndrome,25
Childhood-onset benign chorea with striatal involvement,25
Graham Little-Piccardi-Lassueur syndrome,25
Pulmonary blastoma,25
Pemphigoid gestationis,25
Pediatric hepatocellular carcinoma,25
Plummer-Vinson syndrome,25
ALG6-CDG,25
X-linked spinocerebellar ataxia type 4,25
Pontiac fever,25
Moderate multiminicore disease with hand involvement,26
Fetal minoxidil syndrome,26
Axonal polyneuropathy associated with IgG/IgM/IgA monoclonal gammopathy,26
Ringed hair disease,26
Craniorachischisis,26
AKT2-related familial partial lipodystrophy,26
Alpha-1-antitrypsin deficiency,27
Renal tubular dysgenesis,27
Bullous diffuse cutaneous mastocytosis,27
Bullous lichen planus,27
X-linked intellectual disability-acromegaly-hyperactivity syndrome,27
Acute inflammatory demyelinating polyradiculoneuropathy,27
Marie Unna hereditary hypotrichosis,28
Cholangiocarcinoma,28
Carcinoma of gallbladder and extrahepatic biliary tract,28
Idiopathic hypersomnia,28
Paternal uniparental disomy of chromosome 5,28
Thomsen and Becker disease,29
Barth syndrome,29
Episodic ataxia type 5,29
Double uterus-hemivagina-renal agenesis syndrome,29
Microcephalic primordial dwarfism-insulin resistance syndrome,29
Familial multiple trichoepithelioma,29
Immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency,29
Hemophilia B,29
Autosomal recessive limb-girdle muscular dystrophy type 2D,30
Camptodactyly-fibrous tissue hyperplasia-skeletal dysplasia syndrome,30
Heart defect-tongue hamartoma-polysyndactyly syndrome,30
Hirschsprung disease-type D brachydactyly syndrome,30
Myoclonus-cerebellar ataxia-deafness syndrome,30
Spondylocamptodactyly syndrome,30
Hearing loss-familial salivary gland insensitivity to aldosterone syndrome,30
Microcornea-posterior megalolenticonus-persistent fetal vasculature-coloboma syndrome,30
Macrophagic myofasciitis,30
Intrauterine growth restriction-short stature-early adult-onset diabetes syndrome,30
Primary hyperoxaluria type 2,30
Phenylketonuria,31
Immune thrombocytopenic purpura,31
Complete atrioventricular canal,31
Cervical hypertrichosis-peripheral neuropathy syndrome,31
Familial clubfoot due to 17q23.1q23.2 microduplication,31
Familial short QT syndrome,31
Familial digital arthropathy-brachydactyly,31
Ankyloblepharon filiforme adnatum-cleft palate syndrome,32
Autosomal recessive spastic paraplegia type 39,32
"Craniosynostosis, Philadelphia type",32
Short stature-advanced bone age-early-onset osteoarthritis syndrome,32
Congenital isolated ACTH deficiency,33
"Congenital nephrotic syndrome, Finnish type",33
B4GALT1-CDG,33
Glycogen storage disease due to liver glycogen phosphorylase deficiency,34
Congenital unilateral pulmonary hypoplasia,34
Spinocerebellar ataxia type 32,34
Denys-Drash syndrome,34
Hyaluronidase deficiency,34
Short fifth metacarpals-insulin resistance syndrome,34
Oligocone trichromacy,34
Obesity due to melanocortin 4 receptor deficiency,34
Congenital tricuspid stenosis,34
Spinocerebellar ataxia type 23,34
Adenocarcinoma of the esophagus,34
Familial nasal acilia,35
X-linked intellectual disability-plagiocephaly syndrome,35
Autosomal recessive spastic paraplegia type 27,35
Neonatal hemochromatosis,36
Cooks syndrome,36
Lethal acantholytic epidermolysis bullosa,36
Epidermolytic palmoplantar keratoderma,36
Odontomatosis-aortae esophagus stenosis syndrome,36
Muscular atrophy-ataxia-retinitis pigmentosa-diabetes mellitus syndrome,36
Wildervanck syndrome,36
CIDEC-related familial partial lipodystrophy,36
Non-acquired isolated growth hormone deficiency,37
Ketamine-induced biliary dilatation,37
Familial infantile gigantism,37
Autosomal recessive spastic paraplegia type 60,37
Buerger disease,37
Primary effusion lymphoma,37
Klatskin tumor,37
Adult pulmonary Langerhans cell histiocytosis,37
Pancreatoblastoma,38
Autosomal dominant congenital benign spinal muscular atrophy,38
Cleidorhizomelic syndrome,38
Lethal faciocardiomelic dysplasia,38
Glaucoma-ectopia lentis-microspherophakia-stiff joints-short stature syndrome,38
Weaver-Williams syndrome,38
Familial aortic dissection,38
Keratoderma hereditarium mutilans with ichthyosis,38
Macrostomia-preauricular tags-external ophthalmoplegia syndrome,38
Exostoses-anetodermia-brachydactyly type E syndrome,39
Non-epidermolytic palmoplantar keratoderma,39
Spastic paraplegia-glaucoma-intellectual disability syndrome,39
Hereditary breast and ovarian cancer syndrome,39
Variant ABeta2M amyloidosis,39
Kimura disease,39
Seizures-intellectual disability due to hydroxylysinuria syndrome,39
Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome,39
Pituitary gigantism,39
Laryngeal neuroendocrine tumor,39
Autosomal dominant Charcot-Marie-Tooth disease type 2F,39
Radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome,40
Oculotrichoanal syndrome,40
Autism spectrum disorder-epilepsy-arthrogryposis syndrome,40
Tibial muscular dystrophy,40
Benign paroxysmal torticollis of infancy,40
Tarsal-carpal coalition syndrome,41
Cryptomicrotia-brachydactyly-excess fingertip arch syndrome,41
Mild Canavan disease,41
Bjornstad syndrome,41
Syndactyly type 3,41
Faciocardiorenal syndrome,42
Congenital lethal erythroderma,42
Thomas syndrome,42
Familial multinodular goiter,42
Glycogen storage disease due to lactate dehydrogenase deficiency,42
Autosomal recessive spastic paraplegia type 66,42
Birt-Hogg-Dube syndrome,42
Obesity due to congenital leptin deficiency,42
Hereditary painful callosities,42
Isolated follicle stimulating hormone deficiency,42
Epidermolysis bullosa simplex with mottled pigmentation,42
Obesity due to leptin receptor gene deficiency,43
Camptodactyly-taurinuria syndrome,43
Isolated split hand-split foot malformation,43
Sensorineural hearing loss-early graying-essential tremor syndrome,43
Ovarian hyperstimulation syndrome,43
Myoclonus-dystonia syndrome,43
Van der Woude syndrome,44
Retinohepatoendocrinologic syndrome,44
Idiopathic pulmonary fibrosis,44
Episodic ataxia type 4,44
Pseudodiastrophic dysplasia,44
Autosomal recessive spastic paraplegia type 25,44
Cystic fibrosis,45
Dental ankylosis,45
Cystic hamartoma of lung and kidney,45
Hypertelorism-microtia-facial clefting syndrome,45
Osteoporosis-macrocephaly-blindness-joint hyperlaxity syndrome,45
Robinow-like syndrome,45
Isolated arrhinia,45
Familial anetoderma,45
Neonatal ichthyosis-sclerosing cholangitis syndrome,45
Glutamate-cysteine ligase deficiency,45
Gnathodiaphyseal dysplasia,45
Neuroendocrine tumor of the colon,45
Familial parathyroid adenoma,45
Autosomal dominant coarctation of aorta,46
Hawkinsinuria,46
Ochoa syndrome,46
Microcornea-corectopia-macular hypoplasia syndrome,46
Self-improving collodion baby,46
LIPE-related familial partial lipodystrophy,46
Granulomatous slack skin,46
Autosomal dominant omodysplasia,46
Enamel-renal syndrome,47
Hirschsprung disease-deafness-polydactyly syndrome,47
Elastoderma,47
Diaphanospondylodysostosis,47
Cerebral arteriovenous malformation,47
Fibronectin glomerulopathy,47
Isolated osteopoikilosis,48
Paramyotonia congenita of Von Eulenburg,48
Transcobalamin deficiency,48
Lethal osteosclerotic bone dysplasia,48
Congenital aortic valve stenosis,48
Familial benign chronic pemphigus,48
Galactokinase deficiency,48
Tubular renal disease-cardiomyopathy syndrome,48
X-linked dystonia-parkinsonism,48
Primary immunodeficiency syndrome due to p14 deficiency,48
Lymphedema-cerebral arteriovenous anomaly syndrome,48
Syndactyly type 5,48
"Familial scaphocephaly syndrome, McGillivray type",49
Perioral myoclonia with absences,49
Hypercholesterolemia due to cholesterol 7alpha-hydroxylase deficiency,49
Juvenile temporal arteritis,49
"X-linked neurodegenerative syndrome, Bertini type",49
Autosomal dominant spastic paraplegia type 17,49
Neuroendocrine tumor of anal canal,49
Neuroendocrine tumor of the rectum,49
Ornithine transcarbamylase deficiency,50
Autosomal recessive ataxia due to PEX10 deficiency,50
Autosomal recessive limb-girdle muscular dystrophy type 2E,50
Genochondromatosis type 1,50
Familial papillary thyroid carcinoma with renal papillary neoplasia,50
Amish nemaline myopathy,50
Tracheal agenesis,51
Fibular aplasia-ectrodactyly syndrome,51
Hemangioblastoma,51
Non-eruption of teeth-maxillary hypoplasia-genu valgum syndrome,51
Acrodysplasia scoliosis,51
Sprengel deformity,51
Arachnodactyly-abnormal ossification-intellectual disability syndrome,51
Non-acquired combined pituitary hormone deficiency-sensorineural hearing loss-spine abnormalities syndrome,51
Autosomal recessive cerebellar ataxia-epilepsy-intellectual disability syndrome due to WWOX deficiency,51
Familial bicuspid aortic valve,51
Paraneoplastic pemphigus,51
"X-linked intellectual disability, Siderius type",51
Spinocerebellar ataxia type 5,51
Glycogen storage disease due to glycogen debranching enzyme deficiency,52
Congenital laryngomalacia,52
Insulin-resistance syndrome type A,52
Gonadoblastoma,52
Glycogen storage disease due to LAMP-2 deficiency,52
Autosomal recessive spastic paraplegia type 28,52
Aniridia-intellectual disability syndrome,53
Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement,53
Transgrediens et progrediens palmoplantar keratoderma,53
Palmoplantar keratoderma-deafness syndrome,53
OSLAM syndrome,53
Pterygium colli-intellectual disability-digital anomalies syndrome,53
Young syndrome,53
Frasier syndrome,53
Short stature due to partial GHR deficiency,53
Hypoinsulinemic hypoglycemia and body hemihypertrophy,53
Ovarian fibroma,53
Pancreatic colipase deficiency,53
Multifocal motor neuropathy,53
Hyperkeratosis lenticularis perstans,53
X-linked Ehlers-Danlos syndrome,53
Autosomal recessive limb-girdle muscular dystrophy type 2I,53
Dystrophic epidermolysis bullosa pruriginosa,53
Zebra body myopathy,53
Autosomal recessive spastic paraplegia type 24,53
MULIBREY nanism,54
Congenital pulmonary venous return anomaly,54
Deafness-ear malformation-facial palsy syndrome,54
Combined immunodeficiency due to partial RAG1 deficiency,54
Squamous cell carcinoma of the esophagus,54
Unverricht-Lundborg disease,55
"Spondylometaphyseal dysplasia, A4 type",55
Coloboma of macula-brachydactyly type B syndrome,55
Congenital pericardium anomaly,55
X-linked spasticity-intellectual disability-epilepsy syndrome,55
Dystonia 16,55
PRKAR1B-related neurodegenerative dementia with intermediate filaments,55
Multiple system atrophy,55
"Familial partial lipodystrophy, Kobberling type",55
Schopf-Schulz-Passarge syndrome,55
"Brachydactyly-syndactyly, Zhao type",55
Spinocerebellar ataxia type 15/16,55
Central core disease,56
Budd-Chiari syndrome,56
Congenital factor VII deficiency,56
Arthrogryposis-like hand anomaly-sensorineural deafness syndrome,56
Lowe-Kohn-Cohen syndrome,56
Distal symphalangism,56
Cranio-cervical dystonia with laryngeal and upper-limb involvement,56
Coenzyme Q10 deficiency,56
Semantic dementia,56
Bethlem myopathy,57
Proximal myotonic myopathy,57
Short stature due to primary acid-labile subunit deficiency,57
Knuckle pads-leukonychia-sensorineural deafness-palmoplantar hyperkeratosis syndrome,57
Delta-beta-thalassemia,57
Hereditary angioedema,57
"46,XY disorder of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",58
Ankyloblepharon filiforme adnatum-imperforate anus syndrome,58
Pai syndrome,58
Nail-patella-like renal disease,58
Congenital pulmonary veins atresia or stenosis,58
17p13.3 microduplication syndrome,58
Sensorineural deafness with dilated cardiomyopathy,58
Methylmalonic acidemia without homocystinuria,58
Peeling skin syndrome,58
Thrombocytopenia with congenital dyserythropoietic anemia,58
"Ehlers-Danlos syndrome, periodontitis type",58
Idiopathic juvenile osteoporosis,58
X-linked hypohidrotic ectodermal dysplasia,59
Catecholamine-producing tumor,59
Genetic hyperferritinemia without iron overload,59
Pfeiffer-Palm-Teller syndrome,59
Hemoglobin C-beta-thalassemia syndrome,59
GCGR-related hyperglucagonemia,59
"Multiple system atrophy, parkinsonian type",59
"Camptodactyly syndrome, Guadalajara type 2",60
Nephronophthisis,60
Beta-thalassemia associated with another hemoglobin anomaly,60
Spinal muscular atrophy-Dandy-Walker malformation-cataracts syndrome,60
Linear atrophoderma of Moulin,61
Gingival fibromatosis-facial dysmorphism syndrome,61
Dysraphism-cleft lip/palate-limb reduction defects syndrome,61
ALDH18A1-related De Barsy syndrome,61
Brachydactyly type E,61
Isolated Pierre Robin syndrome,62
Cleft palate-lateral synechia syndrome,62
Craniosynostosis-cataract syndrome,62
Chronic hiccup,62
Mast cell sarcoma,62
Cleft lip with or without cleft palate,63
Tibial hemimelia-polysyndactyly-triphalangeal thumb syndrome,63
Duodenal atresia,63
Autosomal recessive limb-girdle muscular dystrophy type 2C,63
PANDAS,63
Hydatidiform mole,63
Ledderhose disease,64
Autosomal dominant epidermolytic ichthyosis,64
Hemoglobin E-beta-thalassemia syndrome,64
Dominant beta-thalassemia,64
Severe early-onset obesity-insulin resistance syndrome due to SH2B1 deficiency,64
COASY protein-associated neurodegeneration,64
Spinocerebellar ataxia type 40,64
Drug-induced localized lipodystrophy,64
Tetralogy of Fallot,65
Microcephaly-cleft palate-abnormal retinal pigmentation syndrome,65
"Multiple system atrophy, cerebellar type",65
Familial infantile myoclonic epilepsy,65
Autosomal recessive spastic paraplegia type 61,65
Follicular lymphoma,65
Paroxysmal cold hemoglobinuria,65
Brachydactyly type A4,65
Familial progressive cardiac conduction defect,66
Cataract-hypertrichosis-intellectual disability syndrome,66
Hyperkeratosis-hyperpigmentation syndrome,66
Leukonychia totalis,66
Hereditary central diabetes insipidus,66
Acquired angioedema,66
Partial androgen insensitivity syndrome,66
ALG8-CDG,66
Hypomyelination-congenital cataract syndrome,66
Syndactyly type 1,66
Bladder exstrophy,66
Complete androgen insensitivity syndrome,66
Mirror polydactyly-vertebral segmentation-limbs defects syndrome,67
Supravalvular aortic stenosis,67
Cerebellar ataxia with neuropathy and bilateral vestibular areflexia syndrome,67
Mucous membrane pemphigoid,67
Osteopenia-myopia-hearing loss-intellectual disability-facial dysmorphism syndrome,67
Albinism-deafness syndrome,68
Congenital laryngeal web,68
Microcephaly-albinism-digital anomalies syndrome,68
Paraparetic variant of Guillain-Barre syndrome,68
Focal facial dermal dysplasia type I,68
Lipodystrophy-intellectual disability-deafness syndrome,68
Erythema elevatum diutinum,68
Autosomal dominant centronuclear myopathy,69
Pulmonary arterial hypertension,69
Thakker-Donnai syndrome,69
Histidinuria-renal tubular defect syndrome,69
Familial pancreatic carcinoma,69
Central precocious puberty,69
Generalized epilepsy-paroxysmal dyskinesia syndrome,69
"Ehlers-Danlos syndrome, fibronectinemic type",69
Autosomal recessive Kenny-Caffey syndrome,69
Adenohypophysitis,69
Hyperostosis corticalis generalisata,70
Porokeratosis of Mibelli,70
Cholesteryl ester storage disease,70
Carcinoid syndrome,70
Congenital short bowel syndrome,71
Intestinal botulism,71
Paroxysmal hemicrania,71
Autosomal dominant primary microcephaly,71
Aorta coarctation,71
Infantile-onset generalized dyskinesia with orofacial involvement,71
Schisis association,71
Astley-Kendall dysplasia,71
Familial hypofibrinogenemia,71
GMS syndrome,72
Superficial epidermolytic ichthyosis,72
X-linked spinocerebellar ataxia type 3,72
Vein of Galen aneurysmal malformation,73
Amaurosis-hypertrichosis syndrome,73
Cavernous hemangiomas of face-supraumbilical midline raphe syndrome,73
Adenocarcinoma of the anal canal,73
Idiopathic acute eosinophilic pneumonia,73
Myoclonic epilepsy of infancy,73
Systemic-onset juvenile idiopathic arthritis,73
Neuroendocrine neoplasm of appendix,73
Well-differentiated liposarcoma,73
"Multiple epiphyseal dysplasia, Beighton type",74
Familial isolated dilated cardiomyopathy,74
Peripheral motor neuropathy-dysautonomia syndrome,74
Autosomal recessive spastic ataxia-optic atrophy-dysarthria syndrome,74
14q11.2 microdeletion syndrome,74
Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity,74
GRACILE syndrome,74
Adult neuronal ceroid lipofuscinosis,74
LUMBAR syndrome,74
Familial isolated hyperparathyroidism,74
Ring chromosome 1 syndrome,75
Autosomal recessive limb-girdle muscular dystrophy type 2H,75
Blepharoptosis-myopia-ectopia lentis syndrome,75
Familial lambdoid synostosis,75
Deafness-oligodontia syndrome,75
Pulmonary fibrosis-hepatic hyperplasia-bone marrow hypoplasia syndrome,75
Wells syndrome,75
Familial atrial myxoma,75
Kerion celsi,75
Paroxysmal extreme pain disorder,75
Familial afibrinogenemia,75
Middle ear neuroendocrine tumor,75
"X-linked intellectual disability, Van Esch type",76
Ring chromosome 6 syndrome,76
Neuroectodermal-endocrine syndrome,76
Paternal uniparental disomy of chromosome X,76
Aortic arch defects,76
Autosomal recessive spastic paraplegia type 45,76
Insulin autoimmune syndrome,76
Hypothyroidism due to TSH receptor mutations,76
Brachydactyly type B,76
Bencze syndrome,77
Stromal keratitis,77
Xq27.3q28 duplication syndrome,77
Junctional epidermolysis bullosa-pyloric atresia syndrome,77
Nodular lymphocyte predominant Hodgkin lymphoma,77
Perry syndrome,78
Bamforth-Lazarus syndrome,78
Hydrocephaly-tall stature-joint laxity syndrome,78
Distal 7q11.23 microduplication syndrome,78
Dysmorphism-cleft palate-loose skin syndrome,78
Congenital alpha2-antiplasmin deficiency,78
Hughes-Stovin syndrome,78
Glucocorticoid resistance,78
Panhypophysitis,78
Neuroendocrine tumor of stomach,78
Autosomal recessive polycystic kidney disease,79
Congenital pulmonary lymphangiectasia,79
"Spondyloepimetaphyseal dysplasia, matrilin-3 type",79
Brachydactyly type B2,79
X-linked intellectual disability-epilepsy syndrome,79
Aneurysm of sinus of Valsalva,79
Squamous cell carcinoma of the anal canal,79
Eosinophilic esophagitis,79
Spastic paraplegia-intellectual disability-nystagmus-obesity syndrome,79
Hemophilia A,79
Isolated thyroid-stimulating hormone deficiency,80
Lambert syndrome,81
Brachydactyly-arterial hypertension syndrome,81
Pachygyria-intellectual disability-epilepsy syndrome,81
"Omphalocele syndrome, Shprintzen-Goldberg type",81
Congenital factor XI deficiency,81
Interstitial granulomatous dermatitis with arthritis,81
MOGS-CDG,81
Carney-Stratakis syndrome,81
X-linked lymphoproliferative disease,82
Aniridia-absent patella syndrome,82
X-linked progressive cerebellar ataxia,82
Hemimelia,82
Familial dyskinesia and facial myokymia,82
Juvenile-onset diabetes mellitus-central and peripheral neurodegeneration syndrome,82
Isolated brachycephaly,82
X-linked epilepsy-learning disabilities-behavior disorders syndrome,82
Angioma serpiginosum,82
Hamel cerebro-palato-cardiac syndrome,82
Familial dysfibrinogenemia,82
Hb Bart's hydrops fetalis,83
Isovaleric acidemia,83
Congenital varicella syndrome,83
Cleft lip/palate-deafness-sacral lipoma syndrome,83
Megalencephaly,83
Isolated aniridia,83
Moyamoya disease with early-onset achalasia,83
"Adult-onset cervical dystonia, DYT23 type",83
Spinocerebellar ataxia type 20,83
Autosomal spastic paraplegia type 30,83
Rolandic epilepsy-paroxysmal exercise-induced dystonia-writer's cramp syndrome,84
Acrocallosal syndrome,84
Acropectorovertebral dysplasia,84
AICA-ribosiduria,84
Systemic primary carnitine deficiency,84
Fryns-Smeets-Thiry syndrome,84
Rheumatoid factor-positive polyarticular juvenile idiopathic arthritis,84
Autosomal recessive amelia,85
Inhalational anthrax,85
NPHP3-related Meckel-like syndrome,85
Pure autonomic failure,85
Medullary thyroid carcinoma,85
Dyschromatosis universalis hereditaria,85
Growth delay due to insulin-like growth factor I resistance,85
Severe achondroplasia-developmental delay-acanthosis nigricans syndrome,85
Larynx atresia,86
Hereditary chronic pancreatitis,86
Hydrocephaly-cerebellar agenesis syndrome,86
"Short stature, Brussels type",86
Hypomyelination neuropathy-arthrogryposis syndrome,86
Hyperprolinemia type 1,86
Cardiomyopathy-hypotonia-lactic acidosis syndrome,86
Peripheral dysostosis,87
Blepharophimosis-ptosis-esotropia-syndactyly-short stature syndrome,87
Combined immunodeficiency due to DOCK8 deficiency,87
Familial chylomicronemia syndrome,87
