HPO,PDR
Reduced upper to lower segment ratio,6
Bronchial isomerism,6
Left Isomerism,6
Abnormal upper to lower segment ratio,6
Abnormality of body height,6
Heterotaxy,6
Isomerism,6
Right isomerism,6
Fixed head retroflexion,6
Abnormality of the head,6
Decreased number of sweat glands,6
Aplasia of the sweat glands,6
Abnormality of the sweat gland,6
Hypoplastic sweat glands,6
Aplasia/Hypoplasia of the sweat glands,6
Axillary apocrine gland hypoplasia,6
obsolete Coronary atherosclerosis,6
obsolete Combined hyperlipidemia,7
Asymmetry of the breasts,7
obsolete Decreased circulating aldosterone level,7
Dry nipple,7
Short intermamillary distance,7
Abnormal nipple morphology,7
Hypoplastic areola,7
Abnormal intermamillary distance,7
Increased body mass index,7
Abnormality of body mass index,7
Increased waist to hip ratio,7
Abnormality of body weight,7
Decreased waist to hip ratio,7
Abnormal waist to hip ratio,7
Abnormality of the scalp,7
Aplasia/Hypoplastia of the eccrine sweat glands,7
Hypoplasia of the eccrine sweat glands,7
Aplasia of the eccrine sweat glands,7
Abdominal situs ambiguus,7
Colonic inertia,7
Abnormality of abdominal situs,7
Abnormal large intestine physiology,7
obsolete Dilatation of the ascending aorta,8
Prominent nipples,8
Low-set nipples,8
Scalp tenderness,8
obsolete Prominent epicanthal folds,8
Reduced fibroblast CD16 level,9
Reduced granulocyte CD59 level,9
Reduced fibroblast CD59 level,9
Reduced granulocyte CD55 level,9
Reduced granulocyte CD16 level,9
Reduced fibroblast surface marker level,9
Reduced fibroblast CD55 level,9
Abnormal flow cytometry test rest,9
Abnormal cellular phenotype,9
Reduced granulocyte surface marker level,9
Reduced cell surface marker level,9
Increased upper to lower segment ratio,10
Abnormal Sharpey fiber morphology,10
Abnormality of connective tissue,10
Abnormality of the fascia,10
Musculotendinous retraction,10
Abdominal aseptic abscess,10
Abnormality of abdomen morphology,10
Duplication of internal organs,10
Abdominal mass,10
Pelvic organ prolapse,10
Pelvic mass,10
Abnormality of the umbilicus,10
Prominent umbilicus,10
Abnormality of the abdominal wall,10
Tenesmus,10
Exstrophy,10
Prune belly,10
obsolete Low gonadotropins (secondary hypogonadism),10
Anhidrosis,11
Impairment of activities of daily living,11
Shivering,11
Constitutional symptom,11
Chest tightness,11
Impaired transferring ability,11
Musty odor,11
Body odor,11
Hot flashes,11
Impaired ability to bathe oneself,11
Impaired feeding ability,11
Impaired ability to dress oneself,11
Impaired toileting ability,11
Abdominal wall defect,11
obsolete Precocious menopause,12
Death in early adulthood,12
Abnormal myeloid cell morphology,12
Increased red cell osmotic fragility,12
Abnormal erythrocyte physiology,12
Increased hemoglobin oxygen affinity,12
Increased red cell osmotic resistance,12
Abnormality of blood and blood-forming tissues,12
Visceromegaly,12
Postterm pregnancy,12
Twin-to-twin transfusion,12
Fetal choroid plexus cysts,12
Abnormalities of placenta or umbilical cord,12
Hypoplasia of fetal nasal bone,12
Short fetal humerus length,12
Amniotic Sheet,12
Short fetal femur length,12
Fetal distress,12
Echogenic fetal bowel,12
Abnormality of placental membranes,12
Intrauterine fetal demise of one twin after midgestation,12
Absence of stomach bubble on fetal sonography,12
Female fetal virilization,12
Fetal ultrasound soft marker,12
Abnormality of prenatal development or birth,12
Peritoneal effusion,12
Hemoperitoneum,12
Abnormality of the peritoneum,12
Abnormality of the genitourinary system,12
Absent Birbeck granules in Langerhans cells,12
Rosette,12
True ependymal rosette,12
Abnormal Langerhans cell morphology,12
Short telomere length,12
Abnormal lysosomal morphology,12
Zebra bodies,12
Abnormal telomere morphology,12
Flexner-Wintersteiner rosette,12
Abnormal buccal mucosa cell morphology,12
Perivascular pseudorosette,12
Abnormal cell morphology,12
Abnormal chromosome morphology,12
Neurocytic rosette,12
Homer Wright rosette,12
Fish odor,12
Vaginal fish odor,12
Impaired continence,12
Asthenia,12
Protein avoidance,12
Abdominal symptom,12
Scaphoid abdomen,12
obsolete Aortic dilatation,13
Extramedullary hematopoiesis,13
Erythroid dysplasia,13
Abnormal morphology of erythroid progenitor cell,13
Abnormal erythroid lineage cell morphology,13
Abnormal proerythroblast morphology,13
obsolete Clitoromegaly,13
Abnormal cord blood measurement,13
Vaginal birth after Caesarian,13
Nuchal cord,13
5-minute APGAR score of 3,13
Umbilical cord knot,13
Hypercapnia in cord blood,13
Abnormal insertion of umbilical cord,13
5-minute APGAR score of 1,13
Therapeutic abortion,13
Hypocapnia in cord blood,13
Shoulder dystocia,13
Hypoxemia in cord blood,13
Umbilical cord cyst,13
Enlarged fetal cisterna magna,13
Marginal umbilical cord insertion,13
Fetal fifth finger clinodactyly,13
Velamentous cord insertion,13
Abnormal delivery,13
Long umbilical cord,13
Ventouse delivery,13
Umbilical vein varix,13
Low APGAR score,13
Hyperoxemia in cord blood,13
5-minute APGAR score of 2,13
Furcate cord insertion,13
5-minute APGAR score of 6,13
5-minute APGAR score of 4,13
Low 5-minute APGAR score,13
Abnormal blood gas level in cord blood,13
5-minute APGAR score of 5,13
Delivery by Odon device,13
Forceps delivery,13
5-minute APGAR score of 0,13
Umbilical cord hematoma,13
Abnormality of the umbilical cord,13
Induced vaginal delivery,13
Abnormality of mesentery morphology,13
Retroperitoneal fibrosis,13
Abnormality of the mediastinum,13
Pneumomediastinum,13
Peripheral thrombosis,14
Abnormal thrombosis,14
Inverted nipples,14
Increased connective tissue,14
1-minute APGAR score of 5,14
1-minute APGAR score of 6,14
Placental infarction,14
Meconium stained amniotic fluid,14
Subchorionic thrombohematoma,14
1-minute APGAR score of 0,14
1-minute APGAR score of 4,14
Calcified placenta,14
Abnormality of the amniotic fluid,14
Short umbilical cord,14
Abnormal umbilical cord blood vessels,14
1-minute APGAR score of 2,14
Placental abruption,14
1-minute APGAR score of 3,14
1-minute APGAR score of 1,14
Abnormality of the placenta,14
Low 1-minute APGAR score,14
Mesenteric cyst,14
Chylolymphatic mesenteric cyst,14
Peritoneal abscess,14
Aplasia/Hypoplasia of the breasts,14
Abnormality of the ear,14
Abnormal ear physiology,14
Abnormal ear morphology,14
Chills,14
Rigors,14
Bowel urgency,14
Chronic disseminated intravascular coagulation,15
Acute disseminated intravascular coagulation,15
Disseminated intravascular coagulation,15
Excessive insulin response to glucagon test,15
Abnormal response to gonadotropin-releasing hormone stimulation test,15
Abnormal endocrine morphology,15
Impaired growth-hormone response to insulin stimulation test,15
Abnormal endocrine physiology,15
Abnormal response to ACTH stimulation test,15
Abnormal response to endocrine stimulation test,15
Abnormal response to glucagon stimulation test,15
Abnormal response to human chorionic gonadotrophin stimulation test,15
Hyperactive renin-angiotensin system,15
Abnormality of renin-angiotensin system,15
Abnormal response to insulin tolerance test,15
Impaired growth-hormone response to glucagon stimulation test,15
Impaired cortisol response to corticotropin releasing hormone stimulation test,15
Abnormal response to corticotropin releasing hormone stimulation test,15
Impaired cortisol response to glucagon stimulation test,15
Abnormality of urine hormone level,15
Impaired cortisol response to insulin stimulation test,15
Increased LH response to gonadotropin-releasing hormone stimulation test,15
Abnormality of the endocrine system,15
Abdominal situs inversus,15
Subchorionic septal cyst,15
Premature rupture of membranes,15
Low maternal serum PAPP-A,15
Fetal polyuria,15
High maternal serum alpha-fetoprotein,15
Maternal fever in pregnancy,15
Pregnancy exposure,15
Maternal anticardiolipin antibody positive,15
Maternal seizures,15
Maternal autoimmune disease,15
Low maternal serum alpha-fetoprotein,15
Prenatal maternal abnormality,15
Abnormal placental size,15
Toxemia of pregnancy,15
Intrapartum fever,15
Skewed maternal X inactivation,15
Maternal first trimester fever,15
Ectopic pregnancy,15
Maternal thrombophilia,15
Abnormal maternal serum screening,15
Low maternal serum estriol,15
Adipose tissue loss,15
Enthesitis,15
Adipocyte hypertrophy,15
Diet-resistant subcutaneous adipose tissue,15
Lower extremity subcutanous fat hypertrophy,15
Diet-resistant subcutaneous adipose tissue below waist,15
Decreased adipose tissue,15
Abnormal adipose tissue morphology,15
Loss of truncal subcutaneous adipose tissue,15
Aplasia/Hypoplasia of the ear,15
Puberty and gonadal disorders,16
Abnormality of the pineal gland,16
Leydig cell insensitivity to gonadotropin,16
Inappropriate antidiuretic hormone secretion,16
Increased body weight,16
Increased fetal movement,16
Prenatal movement abnormality,16
Galactorrhea,16
Secondary Caesarian section,16
Maternal teratogenic exposure,16
Primary Caesarian section,16
Maternal virilization in pregnancy,16
Low maternal serum chorionic gonadotropin,16
Caesarian section,16
Hyperemesis gravidarum,16
Reduced intraabdominal adipose tissue,16
Reduced intrathoracic adipose tissue,16
Lack of subcutaneous fatty tissue,16
Hyperactive bowel sounds,16
Abnormal bowel sounds,16
Decreased liver function,17
Abnormal circulating aldosterone,17
Abnormality of the immune system,17
Hydropic placenta,17
Large placenta,17
Maternal hypertension,17
High maternal serum chorionic gonadotropin,17
Small placenta,17
Malnutrition,17
Abnormality of circulating cortisol level,18
Abnormal circulating androgen level,18
Abnormal serum insulin-like growth factor 1 level,18
Abnormality of circulating hormone level,18
Decreased antimullerian hormone level,18
Abnormal circulating osteocalcin level,18
Increased antimullerian hormone level,18
Abnormal antimullerian hormone level,18
Abnormality of circulating corticosterone level,18
Pubertal developmental failure in females,18
Absence of pubertal development,18
Abnormal circulating luteinizing hormone level,18
Decreased inhibin B level,18
Decreased circulating dehydroepiandrosterone-sulfate level,18
Decreased circulating gonadotropin level,18
Decreased circulating osteocalcin level,18
Lack of gonadotropin-releasing hormone pulsatility,18
Elevated vascular endothelial growth factor level,18
Decreased circulating dehydroepiandrosterone level,18
Abnormal insulin level,18
Abnormal glucagon level,18
Abnormal adiponectin level,18
Early onset of sexual maturation,18
Abnormal circulating gonadotropin level,18
Abnormal circulating deoxycorticosterone level,18
Increased adiponectin level,18
Increased pituitary glycoprotein alpha subunit level,18
Abnormality of gonadotropin-releasing hormone level,18
Abnormal circulating inhibin level,18
Decreased glucagon level,18
Abnormality of circulating glucocorticoid level,18
Abnormality of circulating pregnenolone level,18
Abnormality of cellular immune system,18
Overweight,18
Abnormality of the neck,18
Abnormal mean corpuscular hemoglobin concentration,18
Increased hemoglobin concentration,18
Abnormal hemoglobin concentration,18
Increased RBC distribution width,18
Decreased red blood cell count,18
Increased mean corpuscular hemoglobin concentration,18
Abnormal erythrocyte morphology,18
Abnormal number of erythroid precursors,18
Reduced hematocrit,18
Erythroid hypoplasia,18
"Reduced erythrocyte 2,3-diphosphoglycerate concentration",18
Decreased mean corpuscular hemoglobin concentration,18
Rouleaux formation,18
Erythroid hyperplasia,18
Abnormal hematocrit,18
Abnormal red blood cell count,18
Increased red blood cell count,18
Megaloblastic erythroid hyperplasia,18
Decreased hemoglobin concentration,18
Abnormal mean corpuscular volume,18
Eclampsia,18
Loss of gluteal subcutaneous adipose tissue,18
Night sweats,18
Gastroschisis,18
High urinary gonadotropin level,19
Increased circulating progesterone,19
Abnormality of the parathyroid gland,19
Decreased circulating progesterone,19
"Increased serum 1,25-dihydroxyvitamin D3",19
Abnormal serum dehydroepiandrosterone level,19
Elevated circulating 17-hydroxyprogesterone,19
Abnormal circulating renin,19
Abnormality of the parathyroid physiology,19
Decreased serum estrone,19
Abnormal circulating progesterone level,19
Abnormal circulating insulin level,19
Decreased serum estriol,19
Abnormal circulating follicle-stimulating hormone level,19
Abnormal serum estriol,19
Abnormality of circulating catecholamine level,19
Abnormal circulating estrogen level,19
Elevated circulating catecholamine level,19
Paradoxical increased cortisol secretion on dexamethasone suppression test,19
Increased serum estrone,19
Hypoinsulinemia,19
Decreased circulating luteinizing hormone level,19
Increased circulating osteocalcin level,19
Abnormal serum estradiol,19
Abnormal serum estrone,19
Increased serum estriol,19
Nuchal rigidity,19
Limitation of neck motion,19
Long neck,19
Limited neck range of motion,19
Poikilocytosis,19
Pure red cell aplasia,19
Pyropoikilocytosis,19
Decreased mean corpuscular volume,19
Sickled erythrocytes,19
Schistocytosis,19
Dysplastic erythropoesis,19
Red blood cell keratocytosis,19
Abnormality of reticulocytes,19
Anisocytosis,19
Absence of Lutheran antigen on erythrocytes,19
Blood group antigen abnormality,19
Cloacal abnormality,19
Thromboembolism,20
Recurrent thromboembolism,20
Increased serum insulin-like growth factor 1,20
Increased glucagon level,20
Abnormal serum testosterone level,20
Androgen insufficiency,20
Decreased circulating follicle stimulating hormone level,20
Abnormality of circulating adrenocorticotropin level,20
Abnormality of the lumbosacral nerve plexus,20
Abnormality of ciliary ganglion,20
Abnormality of cranial ganglion,20
Abnormality of ganglion,20
Abnormality of the somatic nervous system,20
Abnormality of cervical plexus,20
Abnormality of somatic nerve plexus,20
Abnormality of the brachial nerve plexus,20
Brachial plexus neuropathy,20
Abnormality of ganglion of peripheral nervous system,20
Abnormality of the peripheral nervous system,20
Abnormality of the nervous system,20
Abnormality of the respiratory system,20
Elliptocytosis,20
Atypical elliptocytosis,20
Reticulocytopenia,20
Increased hematocrit,20
Complete breech presentation,20
Frank breech presentation,20
Incomplete breech presentation,20
Breech presentation,20
Cloacal exstrophy,20
Absence of subcutaneous fat,20
Scarring,20
Thromboembolic stroke,21
Adrenogenital syndrome,21
Abnormality of the parathyroid morphology,21
Increased serum estradiol,21
Parathyroid dysgenesis,21
Ectopic parathyroid,21
Branchial sinus,21
Branchial anomaly,21
Decreased body mass index,21
Decreased body weight,21
Acanthocytosis,21
Spherocytosis,21
Anisopoikilocytosis,21
Microspherocytosis,21
Stomatocytosis,21
Asymmetric growth,21
Persistent cloaca,21
Parathyroid hypoplasia,22
Decreased adiponectin level,22
Abnormality of circulating leptin level,22
Increased serum leptin,22
Parathyroid agenesis,22
Reticulocytosis,22
Increased mean corpuscular volume,22
Limited neck flexion,22
Preeclampsia,22
Digital constriction ring,22
Amniotic constriction ring,22
Breast hypoplasia,22
Unilateral breast hypoplasia,22
Hypoactive bowel sounds,22
Increased circulating androgen level,23
Premature adrenarche,23
Increased serum androstenedione,23
Dilated vestibule of the inner ear,23
Vestibular saccular degeneration,23
Abnormal inner ear epithelium morphology,23
Enlarged vestibular aqueduct,23
Hypoplasia of the vestibule of the inner ear,23
Aplasia of the vestibular nerve.,23
Hypoplasia of the vestibular nerve,23
Morphological abnormality of the vestibule of the inner ear,23
Aplasia of the vestibule,23
Abnormal vestibular saccule morphology,23
Morphological abnormality of the nerves of the inner ear,23
Morphological abnormality of the inner ear,23
Abnormality of the cochlear nerve,23
Abnormality of the vestibular nerve,23
Abnormality of the inner ear,23
Abnormal autonomic nervous system morphology,23
Abnormality of the autonomic nervous system,23
Sputum eosinophilia,23
Abnormal sputum,23
Abnormal respiratory system morphology,23
Abnormal respiratory epithelium morphology,23
Abnormality of the gastrointestinal tract,23
Loss of subcutaneous adipose tissue in limbs,23
Loss of subcutaneous adipose tissue from upper limbs,23
Bilateral breast hypoplasia,23
obsolete Dysautonomia,24
Decreased circulating renin level,24
Parathyroid hyperplasia,24
Functional abnormality of the inner ear,24
Absent internal auditory canal,24
Abnormality of the internal auditory canal,24
Dilatated internal auditory canal,24
Decreased mean platelet volume,24
Increased mean platelet volume,24
Abnormal platelet volume,24
Abnormal platelet count,24
Abnormal thrombocyte morphology,24
Abnormal sudomotor regulation,24
Orthostatic tachycardia,24
Abnormal autonomic nervous system physiology,24
Urogenital fistula,24
Absent/shortened outer dynein arms,24
Pulmonary situs inversus,24
Absent respiratory ciliary axoneme radial spokes,24
Abnormal pulmonary situs morphology,24
Absent inner and outer dynein arms,24
Abnormal central microtubular pair morphology of respiratory motile cilia,24
Pulmonary situs ambiguus with bilateral morphologic right lungs,24
Absent inner dynein arms,24
Pulmonary situs ambiguus with bilateral morphologic left lungs,24
Absent/shortened dynein arms,24
Pulmonary situs ambiguus,24
Abnormal axonemal organization of respiratory motile cilia,24
Abnormality of the upper respiratory tract,24
Absent central microtubular pair morphology of respiratory motile cilia,24
Abnormal respiratory motile cilium morphology,24
Absent outer dynein arms,24
Shortened inner dynein arms,24
Shortened outer dynein arms,24
Dynein arm defect of respiratory motile cilia,24
Increased hemoglobin,24
Polycythemia,24
Increased red blood cell mass,24
Increased adipose tissue,24
Lipedema,24
Abnormality of the Eustachian tube,24
Atresia of the Eustachian tube,24
Blocked Eustachian tube,24
Stenosis of the Eustachian tube,24
Abnormal middle ear reflexes,24
Absence of the reflex of the tensor tympani muscle,24
Abnormality of the reflex of the tensor tympanii muscle,24
Impairment of the the acoustic reflex,24
Aplasia of the Eustachian tube,24
Absence of acoustic reflex,24
Abnormality of the acoustic reflex,24
Patent tuba eustachii,24
Functional abnormality of the middle ear,24
Impairment of the reflex of the tensor tympanii muscle,24
Abnormality of the middle ear,24
Breast aplasia,24
Menstrual irregularities,25
Decreased circulating androgen level,25
Decreased serum insulin-like growth factor 1,25
Pseudohypoparathyroidism,25
Fasting hypoglycemia,25
Abnormality of the pancreas,25
Morphological abnormality of the anterior semicircular canal,25
Morphological abnormality of the semicircular canal,25
Morphological abnormality of the saccule,25
Morphological abnormality of the posterior semicircular canal,25
Morphological abnormality of the utricle,25
Morphological abnormality of the lateral semicircular canal,25
Enlarged semicircular canal,25
Hypoplasia of the semicircular canal,25
Giant platelets,25
Abnormal fifth cranial nerve physiology,25
Abnormal brain positron emission tomography,25
Abnormal cranial nerve physiology,25
Abnormality of intracranial pressure,25
Decreased intracranial pressure,25
Trigeminal anesthesia,25
Abnormal nervous system electrophysiology,25
Jerk-locked premyoclonus spikes,25
Abnormality of nervous system physiology,25
Abnormality of central nervous system electrophysiology,25
Branchial cyst,25
Glue ear,25
Lack of bowel sounds,25
Broad neck,26
Aplasia/Hypoplasia of the inner ear,26
Aplasia of the semicircular canal,26
Incomplete partition of the cochlea type I,26
Incomplete partition of the cochlea,26
Cochlear malformation,26
Abnormal cochlea morphology,26
Incomplete partition of the cochlea type II,26
Elevated brain creatine level by MRS,26
Elevated brain lactate level by MRS,26
Reduced brain creatine level by MRS,26
Reduced brain choline level by MRS,26
Abnormal metabolic brain imaging by MRS,26
Abnormal brain lactate level by MRS,26
Reduced brain lactate level by MRS,26
Reduced brain gamma-aminobutyric acid level by MRS,26
Abnormal brain choline/creatine ratio by MRS,26
Abnormal brain choline level by MRS,26
Abnormal brain N-acetyl aspartate level by MRS,26
Reduced brain glutamine level by MRS,26
Abnormal brain creatine level by MRS,26
Elevated brain N-acetyl aspartate level by MRS,26
Cataplexy,26
Reduced brain glutamate level by MRS,26
Abnormal synaptic transmission,26
Abnormality of peripheral nervous system electrophysiology,26
Branchial fistula,26
Bronchodysplasia,26
Abnormal tracheobronchial morphology,26
Abnormal bronchus morphology,26
Bronchomegaly,26
Bronchomalacia,26
Bronchial cartilage hypoplasia,26
Bronchial atresia,26
Eunuchoid habitus,26
Hyperparathyroidism,27
Tertiary hyperparathyroidism,27
Abnormality of adrenal morphology,27
Abnormality of the adrenal glands,27
Adrenocortical abnormality,27
Adrenal gland agenesis,27
Adrenal gland dysgenesis,27
Increased circulating renin level,27
Abnormality of pancreas physiology,27
Aplasia of the inner ear,27
Abnormal surface-connected open canalicular system,27
Abnormal platelet morphology,27
Abnormal dense tubular system,27
Abnormal platelet shape,27
Abnormality of hypopharynx,27
Abnormality of the pharynx,27
High myoinositol in brain by MRS,27
Elevated brain choline level by MRS,27
Favorable response of weakness to acetylcholine esterase inhibitors,27
Autonomic erectile dysfunction,27
Response to drugs acting on neuromuscular transmission,27
Abnormal peripheral nervous system synaptic transmission,27
Perineal fistula,27
Large for gestational age,27
Tracheomegaly,27
Cartilaginous trachea,27
Abnormal trachea morphology,27
Tracheobronchmegaly,27
Diverticulosis of trachea,27
Anomalous tracheal cartilage,27
Odynophagia,27
Functional abnormality of the gastrointestinal tract,27
Hemihypertrophy,27
Persistent stapedial artery,27
Morphological abnormality of the middle ear,27
Spontaneous abortion,27
Gastrointestinal eosinophilia,28
Gastrointestinal duplication,28
Morphological abnormality of the gastrointestinal tract,28
Pseudohypoaldosteronism,28
Abnormality of adrenal physiology,28
Secondary hyperparathyroidism,28
Adrenocortical cytomegaly,28
Decreased serum leptin,28
Pancreas divisum,28
Abnormal pancreatic duct morphology,28
Abnormal pancreas size,28
Hyperechogenic pancreas,28
Duplication of pancreatic duct,28
Pancreatic abscess,28
Pancreatic pseudocyst,28
Abnormality of exocrine pancreas physiology,28
Pancreatic dysplasia,28
Abnormality of pancreas morphology,28
Pancreatic fistula,28
Pancreatic hyperplasia,28
Ectopic pancreatic tissue,28
Enlarged cochlear aqueduct,28
Cochlear degeneration,28
Abnormal alpha granules,28
Abnormal platelet granules,28
Abnormal alpha granule distribution,28
Abnormal dense granule content,28
Abnormal platelet dense granule ATP/ADP ratio,28
Absence of alpha granules,28
Abnormal number of dense granules,28
Abnormal dense granules,28
Abnormal number of alpha granules,28
Abnormal alpha granule content,28
Posterior pharyngeal cleft,28
Pharyngitis,28
Hypoplasia of the pharynx,28
Abnormality of central sensory function,28
Agraphesthesia,28
Impaired touch localization,28
Impaired two-point discrimination,28
Abnormality of central motor function,28
Reduced brain N-acetyl aspartate level by MRS,28
Abnormal motor evoked potentials,28
Absent brainstem auditory responses,28
Unfavorable response of muscle weakness to acetylcholine esterase inhibitors,28
Prolonged brainstem auditory evoked potentials,28
Abnormal synaptic transmission at the neuromuscular junction,28
Abnormal auditory evoked potentials,28
Prolonged miniature endplate currents,28
Abnormal upper-limb motor evoked potentials,28
Abnormality of bone marrow cell morphology,28
Dysplastic granulopoesis,28
Granulocytic hyperplasia,28
Reduced bone-marrow pro-B cell count,28
Myelokathexis,28
Abnormal number of granulocyte precursors,28
Abnormality of bone marrow stromal cells,28
Granulocytic hypoplasia,28
Abnormal granulocytopoietic cell morphology,28
Abnormality of the calf,28
Externally rotated/abducted legs,28
Abnormality of the lower limb,28
Recurrent spontaneous abortion,28
Arterial thrombosis,29
Primary gonadal insufficiency,29
Adrenal overactivity,29
Decreased circulating ACTH level,29
Adrenocortical hypoplasia,29
Pigmented micronodular adrenocortical disease,29
Increased serum serotonin,29
Aplasia/Hypoplasia of the cochlea,29
Cochlear aplasia,29
Insufficient response to short acting pulmonary vasodilator,29
Abnormal nasal mucus secretion,29
Abnormal bronchus physiology,29
Abnormal response to short acting pulmonary vasodilator,29
Sneeze,29
Abnormal ciliary motility,29
Immotile cilia,29
Abnormal mucociliary clearance,29
Impaired nasal mucociliary clearance,29
Abnormal respiratory motile cilium physiology,29
Abnormal blood gas level,29
Hyperoxemia,29
Paroxysmal sneezing,29
Decreased pulmonary function,29
Hypocapnia,29
Tracheal tug on inspiration,29
Functional respiratory abnormality,29
Decreased platelet glycoprotein IIb-IIIa,29
Abnormal platelet granule secretion,29
Abnormal platelet ATP dense granule secretion,29
Abnormal platelet dense granule secretion,29
Abnormal platelet alpha granule secretion,29
Impaired platelet adhesion,29
Abnormal plalelet phosphatidylserine exposure,29
Decreased platelet glycoprotein Ib,29
Abnormal platelet function,29
Decreased platelet glycoprotein Ib-IX-V,29
Decreased platelet P2Y12 receptor,29
Abnormal platelet lysosome secretion,29
Abnormal platelet membrane protein expression,29
Increased annexin V binding to platelet phosphatidylserine,29
Impaired clot retraction,29
Decreased platelet glycoprotein VI,29
Decreased platelet thromboxane A2 receptor,29
Impaired annexin V binding to platelet phosphatidylserine,29
Decreased platelet alpha-2A-adrenergic receptor,29
Abnormality of central motor conduction,29
Pseudobulbar signs,29
Abnormality of coordination,29
Motor impersistence,29
Giant somatosensory evoked potentials,29
Abnormality of somatosensory evoked potentials,29
Enhancement of the C-reflex,29
Decreased miniature endplate potentials,29
Abnormality of central somatosensory evoked potentials,29
Abnormality of peripheral somatosensory evoked potentials,29
Cellulitis,29
Abnormal gastrointestinal motility,29
Increased intestinal transit time,29
Decreased intestinal transit time,29
Abnormal gastrointestinal transit time,29
Increased intraabdominal fat,29
Aplasia/Hypoplasia of the middle ear,29
Hypertrophy of the lower limb,29
Externally rotated hips,29
Abnormality of the skin,29
Gastrointestinal atresia,30
Gastric varix,30
Gastric diverticulum,30
Absence of intrinsic factor,30
Gastric hypertrophy,30
Abnormality of the pylorus,30
Gastric duplication,30
Malposition of the stomach,30
Abnormality of the stomach,30
Aplasia/Hypoplasia of the nipples,30
Pancreatic cysts,30
Hypoplasia of the cochlea,30
Vestibular dysfunction,30
Narrow internal auditory canal,30
Progressive pulmonary function impairment,30
Hypercapnia,30
Ciliary dyskinesia,30
Abnormality of the shoulder musculature,30
Abnormality of the chest musculature,30
Absence of pectoralis minor muscle,30
Hypoplasia of latissimus dorsi muscle,30
Abnormality of the pectoral muscle,30
Hypoplasia of serratus anterior muscle,30
Abnormality of the musculature of the thorax,30
Pectoralis major hypoplasia,30
Abnormality of occipitofrontalis muscle,30
Unilateral absence of pectoralis major muscle,30
Hypoplasia of the musculature of the pelvis,30
Depletion of mitochondrial DNA in muscle tissue,30
Muscle abnormality related to mitochondrial dysfunction,30
Abnormality of the hip-girdle musculature,30
Multiple mitochondrial DNA deletions,30
Abnormality of the back musculature,30
Congenital absence of gluteal muscles,30
Axial muscle atrophy,30
Abnormality of the gluteal musculature,30
Abnormality of the musculature of the pelvis,30
Subsarcolemmal accumulations of abnormally shaped mitochondria,30
Abnormality of axial muscles,30
Aplasia/Hypoplasia of the musculature of the pelvis,30
Aplasia of the musculature of the pelvis,30
Abnormality of the musculature,30
Impaired platelet aggregation,30
Abnormal platelet aggregation,30
Impaired thrombin-induced platelet aggregation,30
Impaired thromboxane A2 agonist-induced platelet aggregation,30
